,Order Date,Category,Sub-Category,Product Name,Sales,Quantity,Day,Month,Year
0,2011-01-02,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,2,1,2011
1,2011-01-04,Office Supplies,Labels,Avery 490,29.6,2,4,1,2011
2,2011-01-04,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.088,4,4,1,2011
3,2011-01-08,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,19.752,3,8,1,2011
4,2011-01-09,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,9,1,2011
5,2011-01-11,Office Supplies,Labels,Avery 475,44.4,3,11,1,2011
6,2011-01-11,Office Supplies,Paper,Staples,21.4,5,11,1,2011
7,2011-01-12,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3,12,1,2011
8,2011-02-11,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,362.92,2,11,2,2011
9,2011-02-11,Technology,Phones,AT&T CL82213,46.384,2,11,2,2011
10,2011-03-02,Office Supplies,Fasteners,Staples,12.35,5,2,3,2011
11,2011-03-03,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.352,3,3,3,2011
12,2011-03-04,Technology,Accessories,Logitech G600 MMO Gaming Mouse,159.98,2,4,3,2011
13,2011-03-04,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,4,3,2011
14,2011-03-04,Office Supplies,Envelopes,Staples,11.16,2,4,3,2011
15,2011-03-10,Furniture,Tables,Bevis Round Conference Room Tables and Bases,143.432,1,10,3,2011
16,2011-03-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3,10,3,2011
17,2011-03-11,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4,11,3,2011
18,2011-04-04,Office Supplies,Labels,Avery 518,18.9,6,4,4,2011
19,2011-04-04,Office Supplies,Binders,Avery Non-Stick Binders,7.184,2,4,4,2011
20,2011-04-10,Office Supplies,Binders,GBC Recycled Regency Composition Covers,95.648,2,10,4,2011
21,2011-04-10,Office Supplies,Labels,Avery 512,14.45,5,10,4,2011
22,2011-04-11,Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,666.344,7,11,4,2011
23,2011-04-11,Technology,Machines,Hewlett-Packard Deskjet D4360 Printer,447.968,4,11,4,2011
24,2011-04-11,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",573.728,4,11,4,2011
25,2011-04-11,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",35.34,2,11,4,2011
26,2011-04-11,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,21.936,3,11,4,2011
27,2011-04-11,Office Supplies,Paper,Xerox 2000,19.44,3,11,4,2011
28,2011-04-11,Office Supplies,Art,Newell 343,2.94,1,11,4,2011
29,2011-05-02,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,2,2,5,2011
30,2011-05-02,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,2,5,2011
31,2011-05-02,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3,2,5,2011
32,2011-05-07,Office Supplies,Binders,Vinyl Sectional Post Binders,180.96,6,7,5,2011
33,2011-05-08,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,8,5,2011
34,2011-05-08,Office Supplies,Paper,Xerox 1913,110.96,2,8,5,2011
35,2011-05-08,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,45.98,2,8,5,2011
36,2011-05-08,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,8,5,2011
37,2011-05-08,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,16.36,1,8,5,2011
38,2011-05-08,Office Supplies,Storage,Akro Stacking Bins,15.78,2,8,5,2011
39,2011-05-10,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,99.98,2,10,5,2011
40,2011-05-11,Furniture,Furnishings,OIC Stacking Trays,20.04,6,11,5,2011
41,2011-05-12,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,250.26,6,12,5,2011
42,2011-05-12,Office Supplies,Paper,Xerox 1933,49.12,4,12,5,2011
43,2011-05-12,Office Supplies,Art,Prang Colored Pencils,26.46,9,12,5,2011
44,2011-05-12,Office Supplies,Fasteners,Advantus Plastic Paper Clips,15.0,3,12,5,2011
45,2011-06-04,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,299.97,3,4,6,2011
46,2011-06-04,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",65.568,2,4,6,2011
47,2011-06-04,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.95,3,4,6,2011
48,2011-06-04,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7,4,6,2011
49,2011-06-04,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2,4,6,2011
50,2011-06-04,Office Supplies,Paper,Xerox 194,55.48,1,4,6,2011
51,2011-06-04,Office Supplies,Paper,Xerox 211,19.44,3,4,6,2011
52,2011-06-05,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,140.736,8,5,6,2011
53,2011-06-05,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,107.94,6,5,6,2011
54,2011-06-05,Office Supplies,Labels,Staples,5.78,2,5,6,2011
55,2011-06-07,Furniture,Chairs,Global Comet Stacking Armless Chair,478.48,2,7,6,2011
56,2011-06-09,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",41.88,6,9,6,2011
57,2011-06-09,Office Supplies,Labels,Avery 516,58.48,8,9,6,2011
58,2011-06-10,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,3,10,6,2011
59,2011-06-12,Office Supplies,Storage,Standard Rollaway File with Lock,1261.33,7,12,6,2011
60,2011-07-01,Office Supplies,Paper,Xerox 225,19.44,3,1,7,2011
61,2011-07-09,Office Supplies,Binders,Avery Legal 4-Ring Binder,83.92,5,9,7,2011
62,2011-07-09,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4,9,7,2011
63,2011-07-09,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",20.56,2,9,7,2011
64,2011-07-11,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,123.144,7,11,7,2011
65,2011-07-12,Office Supplies,Paper,Green Bar Computer Printout Paper,164.88,3,12,7,2011
66,2011-07-12,Office Supplies,Art,Newell 32,8.64,3,12,7,2011
