,Order Date,Category,Sub-Category,Product Name,Sales,Quantity
0,2011-01-02,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2
1,2011-01-04,Office Supplies,Labels,Avery 490,29.6,2
2,2011-01-04,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.088,4
3,2011-01-08,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,19.752,3
4,2011-01-09,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3
5,2011-01-11,Office Supplies,Labels,Avery 475,44.4,3
6,2011-01-11,Office Supplies,Paper,Staples,21.4,5
7,2011-01-12,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3
8,2011-02-11,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,362.92,2
9,2011-02-11,Technology,Phones,AT&T CL82213,46.384,2
10,2011-03-02,Office Supplies,Fasteners,Staples,12.35,5
11,2011-03-03,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.352,3
12,2011-03-04,Technology,Accessories,Logitech G600 MMO Gaming Mouse,159.98,2
13,2011-03-04,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3
14,2011-03-04,Office Supplies,Envelopes,Staples,11.16,2
15,2011-03-10,Furniture,Tables,Bevis Round Conference Room Tables and Bases,143.432,1
16,2011-03-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3
17,2011-03-11,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4
18,2011-04-04,Office Supplies,Labels,Avery 518,18.9,6
19,2011-04-04,Office Supplies,Binders,Avery Non-Stick Binders,7.184,2
20,2011-04-10,Office Supplies,Binders,GBC Recycled Regency Composition Covers,95.648,2
21,2011-04-10,Office Supplies,Labels,Avery 512,14.45,5
22,2011-04-11,Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,666.344,7
23,2011-04-11,Technology,Machines,Hewlett-Packard Deskjet D4360 Printer,447.968,4
24,2011-04-11,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",573.728,4
25,2011-04-11,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",35.34,2
26,2011-04-11,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,21.936,3
27,2011-04-11,Office Supplies,Paper,Xerox 2000,19.44,3
28,2011-04-11,Office Supplies,Art,Newell 343,2.94,1
29,2011-05-02,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,2
30,2011-05-02,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4
31,2011-05-02,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3
32,2011-05-07,Office Supplies,Binders,Vinyl Sectional Post Binders,180.96,6
33,2011-05-08,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7
34,2011-05-08,Office Supplies,Paper,Xerox 1913,110.96,2
35,2011-05-08,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,45.98,2
36,2011-05-08,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3
37,2011-05-08,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,16.36,1
38,2011-05-08,Office Supplies,Storage,Akro Stacking Bins,15.78,2
39,2011-05-10,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,99.98,2
40,2011-05-11,Furniture,Furnishings,OIC Stacking Trays,20.04,6
41,2011-05-12,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,250.26,6
42,2011-05-12,Office Supplies,Paper,Xerox 1933,49.12,4
43,2011-05-12,Office Supplies,Art,Prang Colored Pencils,26.46,9
44,2011-05-12,Office Supplies,Fasteners,Advantus Plastic Paper Clips,15.0,3
45,2011-06-04,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,299.97,3
46,2011-06-04,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",65.568,2
47,2011-06-04,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.95,3
48,2011-06-04,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33.11,7
49,2011-06-04,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2
50,2011-06-04,Office Supplies,Paper,Xerox 194,55.48,1
51,2011-06-04,Office Supplies,Paper,Xerox 211,19.44,3
52,2011-06-05,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,140.736,8
53,2011-06-05,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,107.94,6
54,2011-06-05,Office Supplies,Labels,Staples,5.78,2
55,2011-06-07,Furniture,Chairs,Global Comet Stacking Armless Chair,478.48,2
56,2011-06-09,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",41.88,6
57,2011-06-09,Office Supplies,Labels,Avery 516,58.48,8
58,2011-06-10,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,3
59,2011-06-12,Office Supplies,Storage,Standard Rollaway File with Lock,1261.33,7
60,2011-07-01,Office Supplies,Paper,Xerox 225,19.44,3
61,2011-07-09,Office Supplies,Binders,Avery Legal 4-Ring Binder,83.92,5
62,2011-07-09,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4
63,2011-07-09,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",20.56,2
64,2011-07-11,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,123.144,7
65,2011-07-12,Office Supplies,Paper,Green Bar Computer Printout Paper,164.88,3
66,2011-07-12,Office Supplies,Art,Newell 32,8.64,3
67,2011-08-04,Technology,Accessories,Logitech Wireless Headset h800,399.96,4
68,2011-08-04,Furniture,Tables,Bevis 36 x 72 Conference Tables,99.592,1
69,2011-08-07,Furniture,Tables,Hon 2111 Invitation Series Corner Table,502.488,3
70,2011-08-07,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",196.704,6
71,2011-08-08,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3
72,2011-08-08,Technology,Phones,AT&T 1070 Corded Phone,445.96,5
73,2011-08-08,Office Supplies,Storage,Advantus Rolling Drawer Organizers,423.28,11
74,2011-08-08,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,327.76,8
75,2011-08-08,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2
76,2011-08-09,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",56.65,5
77,2011-08-09,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2
78,2011-08-09,Office Supplies,Storage,Pizazz Global Quick File,14.97,1
79,2011-08-09,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",8.608,2
80,2011-08-09,Office Supplies,Fasteners,Ideal Clamps,4.02,2
81,2011-08-11,Technology,Phones,Toshiba IPT2010-SD IP Telephone,333.576,3
82,2011-08-12,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,79.44,3
83,2011-08-12,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2
84,2011-09-05,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3
85,2011-09-05,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.8,4
86,2011-09-06,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4
87,2011-09-06,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9
88,2011-09-06,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6
89,2011-09-06,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
90,2011-09-06,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
91,2011-09-06,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,23.1,2
92,2011-09-06,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
93,2011-09-06,Office Supplies,Supplies,Staples,7.36,2
94,2011-09-06,Office Supplies,Art,Newell 322,7.28,4
95,2011-09-07,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",119.833,1
96,2011-09-07,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,41.904,6
97,2011-09-07,Office Supplies,Paper,Xerox 1967,32.4,5
98,2011-09-07,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",23.92,4
99,2011-09-07,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,14.304,6
100,2011-09-07,Office Supplies,Labels,Avery 49,2.88,1
101,2011-09-07,Office Supplies,Art,Prang Drawing Pencil Set,5.56,2
102,2011-09-08,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),5.98,1
103,2011-09-08,Office Supplies,Labels,Avery 494,20.88,8
104,2011-09-10,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,144.6,3
105,2011-09-10,Technology,Phones,iOttie HLCRIO102 Car Mount,15.992,1
106,2011-09-11,Technology,Phones,Samsung Galaxy Note 3,703.968,4
107,2011-09-11,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92,3
108,2011-09-11,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666,2
109,2011-09-11,Office Supplies,Paper,Xerox 1912,94.85,5
110,2011-09-11,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",62.65,7
111,2011-09-11,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",92.52,6
112,2011-09-12,Office Supplies,Paper,Xerox 1987,34.68,6
113,2011-10-05,Technology,Phones,Wilson Electronics DB Pro Signal Booster,1432.0,5
114,2011-10-05,Furniture,Chairs,Hon Pagoda Stacking Chairs,256.784,1
115,2011-10-05,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,39.96,2
116,2011-10-05,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,41.04,6
