,Order Date,Category,Sub-Category,Product Name,Sales,Quantity,Day,Month,Year
3,2011-01-14,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5.0,14,1,2011
8,2011-01-28,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4.0,28,1,2011
12,2011-05-02,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4.0,2,5,2011
13,2011-05-02,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3.0,2,5,2011
14,2011-02-13,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2.0,13,2,2011
24,2011-03-18,Furniture,Furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111.0,2.0,18,3,2011
27,2011-03-24,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",40.48,2.0,24,3,2011
29,2011-03-25,Technology,Accessories,Imation Swivel Flash Drive USB flash drive - 8 GB,45.48,4.0,25,3,2011
32,2011-03-26,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,66.3,3.0,26,3,2011
33,2011-03-26,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable,28.784,2.0,26,3,2011
34,2011-03-26,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,27.936,4.0,26,3,2011
37,2011-03-30,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,205.666,2.0,30,3,2011
39,2011-03-31,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,52.98,2.0,31,3,2011
40,2011-01-04,Office Supplies,Labels,Avery 490,29.6,2.0,4,1,2011
42,2011-03-04,Technology,Accessories,Logitech G600 MMO Gaming Mouse,159.98,2.0,4,3,2011
43,2011-03-04,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3.0,4,3,2011
48,2011-06-04,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",65.568,2.0,4,6,2011
49,2011-06-04,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.95,3.0,4,6,2011
51,2011-06-04,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2.0,4,6,2011
59,2011-12-04,Office Supplies,Art,Prismacolor Color Pencil Set,39.68,2.0,4,12,2011
61,2011-04-15,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",187.76,4.0,15,4,2011
62,2011-04-15,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,106.96,2.0,15,4,2011
67,2011-04-19,Furniture,Furnishings,"Executive Impressions 13"" Chairman Wall Clock",76.14,3.0,19,4,2011
68,2011-04-20,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",59.92,4.0,20,4,2011
75,2011-04-26,Office Supplies,Art,Newell 347,21.4,5.0,26,4,2011
82,2011-09-05,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3.0,5,9,2011
83,2011-09-05,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.8,4.0,5,9,2011
86,2011-10-05,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,39.96,2.0,5,10,2011
89,2011-05-13,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,149.97,3.0,13,5,2011
92,2011-05-16,Technology,Accessories,Imation Clip USB flash drive - 8 GB,56.4,3.0,16,5,2011
94,2011-05-26,Technology,Phones,VTech DS6151,201.584,2.0,26,5,2011
96,2011-05-26,Technology,Phones,netTALK DUO VoIP Telephone Service,83.984,2.0,26,5,2011
97,2011-05-26,Furniture,Chairs,Hon Olson Stacker Stools,225.296,2.0,26,5,2011
105,2011-09-06,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,6,9,2011
107,2011-09-06,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,23.1,2.0,6,9,2011
112,2011-06-18,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,139.8,5.0,18,6,2011
114,2011-06-30,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",32.4,5.0,30,6,2011
121,2011-09-07,Office Supplies,Paper,Xerox 1967,32.4,5.0,7,9,2011
122,2011-09-07,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",23.92,4.0,7,9,2011
134,2011-07-20,Furniture,Furnishings,Nu-Dell Leatherette Frames,43.02,3.0,20,7,2011
135,2011-07-20,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",22.83,3.0,20,7,2011
136,2011-07-20,Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50/Pack",41.94,2.0,20,7,2011
137,2011-07-20,Office Supplies,Paper,Xerox 1897,19.92,4.0,20,7,2011
143,2011-07-21,Office Supplies,Art,Newell 334,99.2,5.0,21,7,2011
146,2011-07-22,Furniture,Tables,Safco Drafting Table,170.352,3.0,22,7,2011
151,2011-07-23,Office Supplies,Supplies,Acme Softgrip Scissors,40.7,5.0,23,7,2011
152,2011-07-23,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3.0,23,7,2011
154,2011-07-25,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",53.72,4.0,25,7,2011
162,2011-05-08,Office Supplies,Paper,Xerox 1913,110.96,2.0,8,5,2011
163,2011-05-08,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,45.98,2.0,8,5,2011
164,2011-05-08,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3.0,8,5,2011
171,2011-08-08,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2.0,8,8,2011
175,2011-12-08,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",85.44,3.0,8,12,2011
176,2011-08-15,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,152.91,3.0,15,8,2011
177,2011-08-15,Furniture,Chairs,Novimex Fabric Task Chair,195.136,4.0,15,8,2011
178,2011-08-15,Office Supplies,Paper,Xerox 1925,92.94,3.0,15,8,2011
