,Order Date,Category,Sub-Category,Product Name,Sales,Quantity,Day,Month,Year
1,2011-01-04,Office Supplies,Labels,Avery 490,29.6,2.0,4,1,2011
4,2011-01-09,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3.0,9,1,2011
5,2011-01-11,Office Supplies,Labels,Avery 475,44.4,3.0,11,1,2011
6,2011-01-11,Office Supplies,Paper,Staples,21.4,5.0,11,1,2011
7,2011-01-12,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3.0,12,1,2011
9,2011-02-11,Technology,Phones,AT&T CL82213,46.384,2.0,11,2,2011
12,2011-03-04,Technology,Accessories,Logitech G600 MMO Gaming Mouse,159.98,2.0,4,3,2011
13,2011-03-04,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3.0,4,3,2011
16,2011-03-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3.0,10,3,2011
20,2011-04-10,Office Supplies,Binders,GBC Recycled Regency Composition Covers,95.648,2.0,10,4,2011
25,2011-04-11,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",35.34,2.0,11,4,2011
26,2011-04-11,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,21.936,3.0,11,4,2011
30,2011-05-02,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4.0,2,5,2011
31,2011-05-02,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3.0,2,5,2011
34,2011-05-08,Office Supplies,Paper,Xerox 1913,110.96,2.0,8,5,2011
35,2011-05-08,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,45.98,2.0,8,5,2011
36,2011-05-08,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3.0,8,5,2011
39,2011-05-10,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,99.98,2.0,10,5,2011
42,2011-05-12,Office Supplies,Paper,Xerox 1933,49.12,4.0,12,5,2011
46,2011-06-04,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",65.568,2.0,4,6,2011
47,2011-06-04,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,70.95,3.0,4,6,2011
49,2011-06-04,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2.0,4,6,2011
61,2011-07-09,Office Supplies,Binders,Avery Legal 4-Ring Binder,83.92,5.0,9,7,2011
62,2011-07-09,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4.0,9,7,2011
63,2011-07-09,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",20.56,2.0,9,7,2011
65,2011-07-12,Office Supplies,Paper,Green Bar Computer Printout Paper,164.88,3.0,12,7,2011
75,2011-08-08,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2.0,8,8,2011
76,2011-08-09,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",56.65,5.0,9,8,2011
77,2011-08-09,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2.0,9,8,2011
82,2011-08-12,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,79.44,3.0,12,8,2011
83,2011-08-12,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2.0,12,8,2011
84,2011-09-05,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3.0,5,9,2011
85,2011-09-05,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.8,4.0,5,9,2011
89,2011-09-06,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,6,9,2011
91,2011-09-06,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,23.1,2.0,6,9,2011
97,2011-09-07,Office Supplies,Paper,Xerox 1967,32.4,5.0,7,9,2011
98,2011-09-07,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",23.92,4.0,7,9,2011
104,2011-09-10,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,144.6,3.0,10,9,2011
108,2011-09-11,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666,2.0,11,9,2011
109,2011-09-11,Office Supplies,Paper,Xerox 1912,94.85,5.0,11,9,2011
115,2011-10-05,Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,39.96,2.0,5,10,2011
117,2011-10-10,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3.0,10,10,2011
120,2011-10-11,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.2,5.0,11,10,2011
121,2011-10-11,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,39.88,2.0,11,10,2011
126,2011-11-09,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",127.95,3.0,9,11,2011
128,2011-11-10,Office Supplies,Storage,Iris Project Case,31.92,4.0,10,11,2011
131,2011-11-11,Office Supplies,Paper,Xerox 1979,123.92,4.0,11,11,2011
133,2011-11-11,Office Supplies,Art,50 Colored Long Pencils,30.48,3.0,11,11,2011
138,2011-12-04,Office Supplies,Art,Prismacolor Color Pencil Set,39.68,2.0,4,12,2011
145,2011-12-08,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",85.44,3.0,8,12,2011
157,2012-01-05,Technology,Phones,OtterBox Defender Series Case - iPhone 5c,88.752,3.0,5,1,2012
158,2012-01-05,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2.0,5,1,2012
