,Order Date,Category,Sub-Category,Product Name,Sales,Quantity,Day,Month,Year
1,2011-01-01,Office Supplies,Supplies,"Acme Trimmer, High Speed",120.366,3.0,1,1,2011
2,2011-01-01,Office Supplies,Storage,"Tenex Box, Single Width",66.12,4.0,1,1,2011
3,2011-01-01,Office Supplies,Paper,"Enermax Note Cards, Premium",44.865,3.0,1,1,2011
4,2011-01-01,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",113.67,5.0,1,1,2011
5,2011-01-01,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55.242,2.0,1,1,2011
9,2011-01-02,Office Supplies,Storage,"Tenex Trays, Single Width",162.72,3.0,2,1,2011
13,2011-01-02,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",139.65,5.0,2,1,2011
14,2011-01-02,Office Supplies,Supplies,"Kleencut Ruler, High Speed",40.68,3.0,2,1,2011
15,2011-01-02,Technology,Accessories,"Memorex Memory Card, USB",81.984,2.0,2,1,2011
16,2011-01-02,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",78.3,3.0,2,1,2011
28,2011-01-03,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",246.48,4.0,3,1,2011
31,2011-01-03,Technology,Machines,"Panasonic Receipt Printer, White",214.758,2.0,3,1,2011
35,2011-01-03,Office Supplies,Art,"BIC Sketch Pad, Blue",194.64,4.0,3,1,2011
37,2011-01-03,Furniture,Chairs,"Hon Steel Folding Chair, Red",162.84,2.0,3,1,2011
38,2011-01-03,Office Supplies,Storage,"Fellowes Shelving, Single Width",115.74,2.0,3,1,2011
40,2011-01-03,Office Supplies,Art,"BIC Markers, Easy-Erase",106.8,4.0,3,1,2011
43,2011-01-03,Furniture,Chairs,"Hon Swivel Stool, Red",238.929,2.0,3,1,2011
45,2011-01-03,Technology,Accessories,"Belkin Keyboard, USB",151.362,2.0,3,1,2011
48,2011-01-03,Office Supplies,Storage,"Smead Shelving, Single Width",117.504,3.0,3,1,2011
49,2011-01-03,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.352,3.0,3,1,2011
50,2011-01-03,Office Supplies,Art,"Stanley Canvas, Blue",98.94,2.0,3,1,2011
51,2011-01-03,Office Supplies,Storage,"Fellowes Folders, Blue",63.36,3.0,3,1,2011
52,2011-01-03,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.552,3.0,3,1,2011
54,2011-01-03,Technology,Machines,"StarTech Receipt Printer, Wireless",221.16,2.0,3,1,2011
60,2011-01-03,Office Supplies,Art,"Sanford Pens, Fluorescent",37.08,3.0,3,1,2011
62,2011-01-03,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",102.438,2.0,3,1,2011
73,2011-01-03,Office Supplies,Storage,"Tenex Box, Wire Frame",31.14,2.0,3,1,2011
79,2011-01-04,Office Supplies,Art,"Stanley Canvas, Water Color",157.95,3.0,4,1,2011
80,2011-01-04,Technology,Phones,"Motorola Audio Dock, with Caller ID",138.696,2.0,4,1,2011
81,2011-01-04,Office Supplies,Binders,"Cardinal Binding Machine, Clear",83.691,2.0,4,1,2011
82,2011-01-04,Office Supplies,Appliances,"Cuisinart Toaster, Red",85.536,4.0,4,1,2011
83,2011-01-04,Technology,Accessories,"SanDisk Flash Drive, Programmable",123.12,3.0,4,1,2011
84,2011-01-04,Technology,Accessories,"Memorex Memory Card, Erganomic",80.064,2.0,4,1,2011
86,2011-01-04,Furniture,Chairs,"Novimex Chairmat, Red",67.608,3.0,4,1,2011
87,2011-01-04,Office Supplies,Storage,"Rogers Trays, Wire Frame",121.5,5.0,4,1,2011
88,2011-01-04,Office Supplies,Art,"Stanley Markers, Easy-Erase",44.94,5.0,4,1,2011
90,2011-01-04,Office Supplies,Storage,"Smead Folders, Single Width",43.8,5.0,4,1,2011
94,2011-01-04,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4.0,4,1,2011
111,2011-01-06,Technology,Phones,"Samsung Audio Dock, VoIP",222.56,2.0,6,1,2011
112,2011-01-06,Office Supplies,Art,"Sanford Pencil Sharpener, Easy-Erase",90.3,5.0,6,1,2011
113,2011-01-06,Technology,Phones,"Apple Speaker Phone, Full Size",211.803,2.0,6,1,2011
114,2011-01-06,Office Supplies,Storage,"Fellowes File Cart, Wire Frame",109.104,2.0,6,1,2011
116,2011-01-06,Technology,Accessories,"Enermax Mouse, Erganomic",50.8,2.0,6,1,2011
118,2011-01-06,Office Supplies,Binders,"Cardinal Binding Machine, Durable",102.54,2.0,6,1,2011
119,2011-01-06,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,4.0,6,1,2011
120,2011-01-06,Office Supplies,Storage,"Eldon Shelving, Blue",58.104,2.0,6,1,2011
121,2011-01-06,Office Supplies,Binders,"Cardinal 3-Hole Punch, Economy",57.6,2.0,6,1,2011
122,2011-01-06,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2.0,6,1,2011
125,2011-01-06,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,5.0,6,1,2011
126,2011-01-06,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",214.3791,3.0,6,1,2011
128,2011-01-06,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window",62.7,5.0,6,1,2011
138,2011-01-06,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3.0,6,1,2011
146,2011-01-07,Office Supplies,Paper,"Xerox Cards & Envelopes, Multicolor",61.84,2.0,7,1,2011
147,2011-01-07,Office Supplies,Art,"Sanford Highlighters, Fluorescent",34.02,2.0,7,1,2011
157,2011-01-08,Technology,Accessories,"Belkin Flash Drive, Programmable",217.2,5.0,8,1,2011
158,2011-01-08,Office Supplies,Storage,"Rogers Shelving, Single Width",248.64,4.0,8,1,2011
159,2011-01-08,Office Supplies,Art,"Stanley Canvas, Easy-Erase",99.48,2.0,8,1,2011
161,2011-01-08,Office Supplies,Storage,"Tenex Shelving, Industrial",99.252,2.0,8,1,2011
162,2011-01-08,Office Supplies,Appliances,"Hoover Coffee Grinder, White",40.158,2.0,8,1,2011
164,2011-01-08,Office Supplies,Envelopes,"Ames Peel and Seal, Recycled",52.47,3.0,8,1,2011
167,2011-01-08,Office Supplies,Art,"BIC Markers, Easy-Erase",53.4,2.0,8,1,2011
170,2011-01-08,Furniture,Furnishings,"Tenex Door Stop, Erganomic",85.02,2.0,8,1,2011
171,2011-01-08,Technology,Accessories,"Memorex Numeric Keypad, Erganomic",102.762,4.0,8,1,2011
172,2011-01-08,Office Supplies,Paper,Xerox 1916,78.304,2.0,8,1,2011
174,2011-01-08,Office Supplies,Supplies,"Acme Scissors, High Speed",40.704,4.0,8,1,2011
175,2011-01-08,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,44.128,4.0,8,1,2011
198,2011-01-09,Office Supplies,Storage,"Rogers Trays, Wire Frame",243.0,4.0,9,1,2011
203,2011-01-09,Furniture,Furnishings,"Deflect-O Door Stop, Black",87.9,2.0,9,1,2011
204,2011-01-09,Office Supplies,Appliances,"Breville Coffee Grinder, Silver",125.22,3.0,9,1,2011
205,2011-01-09,Office Supplies,Storage,"Tenex Folders, Single Width",77.5,5.0,9,1,2011
207,2011-01-09,Office Supplies,Binders,"Avery Binding Machine, Durable",100.68,2.0,9,1,2011
208,2011-01-09,Office Supplies,Supplies,"Acme Scissors, Serrated",44.28,3.0,9,1,2011
209,2011-01-09,Office Supplies,Supplies,"Fiskars Trimmer, Serrated",64.35,3.0,9,1,2011
210,2011-01-09,Office Supplies,Binders,"Ibico Index Tab, Durable",37.08,4.0,9,1,2011
211,2011-01-09,Office Supplies,Art,"BIC Pencil Sharpener, Fluorescent",60.54,2.0,9,1,2011
214,2011-01-09,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3.0,9,1,2011
220,2011-01-10,Technology,Copiers,"HP Fax and Copier, Color",231.97512,2.0,10,1,2011
221,2011-01-10,Office Supplies,Binders,"Ibico Binding Machine, Recycled",103.56,2.0,10,1,2011
243,2011-01-11,Office Supplies,Supplies,"Elite Shears, Easy Grip",121.575,5.0,11,1,2011
248,2011-01-11,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Silver",142.44,4.0,11,1,2011
257,2011-01-11,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",98.592,2.0,11,1,2011
258,2011-01-11,Office Supplies,Supplies,"Acme Trimmer, Steel",131.94,3.0,11,1,2011
259,2011-01-11,Office Supplies,Supplies,"Stiletto Shears, High Speed",144.27,3.0,11,1,2011
260,2011-01-11,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",160.65,5.0,11,1,2011
261,2011-01-11,Office Supplies,Storage,"Smead Shelving, Blue",48.93,2.0,11,1,2011
262,2011-01-11,Office Supplies,Storage,"Rogers Folders, Industrial",112.212,4.0,11,1,2011
263,2011-01-11,Office Supplies,Paper,"Eaton Cards & Envelopes, 8.5 x 11",147.96,3.0,11,1,2011
264,2011-01-11,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2.0,11,1,2011
265,2011-01-11,Technology,Accessories,"Enermax Mouse, Programmable",125.37,3.0,11,1,2011
267,2011-01-11,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",69.52,2.0,11,1,2011
